date,review,sentiment
2024-08-25,"The experience was mediocre. The appetizers were cold, and the main course lacked seasoning. The staff was friendly but seemed overwhelmed with the crowd. We might give it another try.","{'experience': 'negative', 'appetizers': 'negative', 'course': 'negative', 'seasoning': 'negative', 'staff': 'positive', 'crowd': 'positive', 'try': 'neutral'}"
2024-08-25,"Had a lovely evening here. The staff was attentive, and the food was great. We especially loved the appetizers. The portions were generous, and we left feeling very satisfied.","{'evening': 'positive', 'staff': 'positive', 'food': 'positive', 'appetizers': 'positive', 'portions': 'positive'}"
2024-08-25,"A wonderful dining experience from start to finish. The waiter was attentive, and the chef even came out to greet us. The food was flavorful and beautifully presented. Highly recommend!","{'dining': 'positive', 'experience': 'positive', 'start': 'positive', 'finish': 'positive', 'waiter': 'positive', 'chef': 'positive', 'food': 'positive'}"
2024-08-11,"This place never disappoints! The food is always top-notch, and the staff is very professional. The ambiance is perfect for a romantic dinner or special occasion.","{'place': 'positive', 'disappoints': 'positive', 'food': 'positive', 'notch': 'positive', 'staff': 'positive', 'ambiance': 'positive', 'dinner': 'positive', 'occasion': 'positive'}"
2024-08-09,"The setting is beautiful, but the food left much to be desired. The steak was overcooked, and the side dishes were bland. For the price, we expected a much better experience.","{'setting': 'positive', 'food': 'positive', 'steak': 'negative', 'side': 'negative', 'dishes': 'negative', 'price': 'positive', 'experience': 'positive'}"
2024-08-09,"This place never disappoints! The food is always top-notch, and the staff is very professional. The ambiance is perfect for a romantic dinner or special occasion.","{'place': 'positive', 'disappoints': 'positive', 'food': 'positive', 'notch': 'positive', 'staff': 'positive', 'ambiance': 'positive', 'dinner': 'positive', 'occasion': 'positive'}"
2024-08-09,"The service was very slow, and the food was average at best. We waited over 45 minutes for our entrees, and they were lukewarm when they arrived. Disappointing experience overall.","{'service': 'positive', 'food': 'positive', 'minutes': 'neutral', 'entrees': 'neutral', 'experience': 'negative'}"
2024-08-09,,{}
2024-09-08,"Had a disappointing meal here. The pasta was overcooked, and the sauce was too salty. The service was friendly, but it didn’t make up for the lackluster food.","{'meal': 'negative', 'pasta': 'neutral', 'sauce': 'neutral', 'service': 'positive', 'food': 'positive'}"
2024-09-08,"Had a disappointing meal here. The pasta was overcooked, and the sauce was too salty. The service was friendly, but it didn’t make up for the lackluster food.","{'meal': 'negative', 'pasta': 'neutral', 'sauce': 'neutral', 'service': 'positive', 'food': 'positive'}"
2024-06-17,"The restaurant was clean, and the staff was polite. However, the food took too long to arrive, and when it did, it was cold. Not the best experience, but the place has potential.","{'restaurant': 'positive', 'staff': 'positive', 'food': 'negative', 'experience': 'positive', 'place': 'positive', 'potential': 'positive'}"
2024-06-17,"Had a great evening at this restaurant. The live music was a nice touch, and the food was good, though a bit expensive. The staff was friendly, but the service could have been faster.","{'evening': 'positive', 'restaurant': 'positive', 'music': 'positive', 'touch': 'positive', 'food': 'positive', 'bit': 'positive', 'staff': 'positive', 'service': 'positive'}"
2024-06-17,"The experience was mediocre. The appetizers were cold, and the main course lacked seasoning. The staff was friendly but seemed overwhelmed with the crowd. We might give it another try.","{'experience': 'negative', 'appetizers': 'negative', 'course': 'negative', 'seasoning': 'negative', 'staff': 'positive', 'crowd': 'positive', 'try': 'neutral'}"
2024-06-26,"The restaurant was clean, and the staff was polite. However, the food took too long to arrive, and when it did, it was cold. Not the best experience, but the place has potential.","{'restaurant': 'positive', 'staff': 'positive', 'food': 'negative', 'experience': 'positive', 'place': 'positive', 'potential': 'positive'}"
2024-06-26,"A wonderful dining experience from start to finish. The waiter was attentive, and the chef even came out to greet us. The food was flavorful and beautifully presented. Highly recommend!","{'dining': 'positive', 'experience': 'positive', 'start': 'positive', 'finish': 'positive', 'waiter': 'positive', 'chef': 'positive', 'food': 'positive'}"
2024-09-07,"This is one of my favorite spots in town. The food is always delicious, and the atmosphere is cozy. We love coming here for a relaxed evening out with friends.","{'spots': 'positive', 'town': 'positive', 'food': 'positive', 'atmosphere': 'positive', 'evening': 'positive', 'friends': 'positive'}"
2024-09-07,"The restaurant was very busy, and we had to wait over 30 minutes for a table despite having a reservation. The food was decent but not worth the wait. The service was friendly, though.","{'restaurant': 'positive', 'minutes': 'positive', 'table': 'positive', 'reservation': 'positive', 'food': 'positive', 'wait': 'positive', 'service': 'positive'}"
2024-07-23,"The setting is beautiful, but the food left much to be desired. The steak was overcooked, and the side dishes were bland. For the price, we expected a much better experience.","{'setting': 'positive', 'food': 'positive', 'steak': 'negative', 'side': 'negative', 'dishes': 'negative', 'price': 'positive', 'experience': 'positive'}"
2024-09-01,"Great place for a family dinner! The portions were generous, and the prices were reasonable. The kids enjoyed their meals, and the staff was very accommodating. We'll definitely come back!","{'place': 'positive', 'family': 'positive', 'dinner': 'positive', 'portions': 'positive', 'prices': 'positive', 'kids': 'positive', 'meals': 'positive', 'staff': 'positive'}"
2024-08-04,"The setting is beautiful, but the food left much to be desired. The steak was overcooked, and the side dishes were bland. For the price, we expected a much better experience.","{'setting': 'positive', 'food': 'positive', 'steak': 'negative', 'side': 'negative', 'dishes': 'negative', 'price': 'positive', 'experience': 'positive'}"
2024-08-04,"The food was just okay, and the service was lacking. The waiter seemed distracted, and we had to remind him about our orders several times. Probably won’t be returning.","{'food': 'positive', 'service': 'positive', 'waiter': 'neutral', 'orders': 'neutral', 'times': 'neutral'}"
2024-07-24,"The food was outstanding and the service was excellent. The ambiance was perfect for a quiet dinner with friends. We ordered a variety of dishes, and each one was cooked to perfection. Highly recommend this place!","{'food': 'positive', 'service': 'positive', 'ambiance': 'positive', 'dinner': 'positive', 'friends': 'positive', 'variety': 'neutral', 'dishes': 'neutral', 'one': 'neutral', 'perfection': 'neutral', 'place': 'positive'}"
2024-07-24,"Had a lovely evening here. The staff was attentive, and the food was great. We especially loved the appetizers. The portions were generous, and we left feeling very satisfied.","{'evening': 'positive', 'staff': 'positive', 'food': 'positive', 'appetizers': 'positive', 'portions': 'positive'}"
2024-07-24,,{}
2024-07-14,"The service was very slow, and the food was average at best. We waited over 45 minutes for our entrees, and they were lukewarm when they arrived. Disappointing experience overall.","{'service': 'positive', 'food': 'positive', 'minutes': 'neutral', 'entrees': 'neutral', 'experience': 'negative'}"
2024-06-07,"This is one of my favorite spots in town. The food is always delicious, and the atmosphere is cozy. We love coming here for a relaxed evening out with friends.","{'spots': 'positive', 'town': 'positive', 'food': 'positive', 'atmosphere': 'positive', 'evening': 'positive', 'friends': 'positive'}"
2024-06-07,"Loved the atmosphere, but the food didn't live up to the expectations. The dessert was the highlight of the meal, but the rest of the courses were a bit bland and overpriced.","{'atmosphere': 'positive', 'food': 'positive', 'expectations': 'positive', 'dessert': 'negative', 'highlight': 'negative', 'meal': 'negative', 'rest': 'negative', 'courses': 'negative', 'bit': 'negative'}"
2024-06-07,"The experience was mediocre. The appetizers were cold, and the main course lacked seasoning. The staff was friendly but seemed overwhelmed with the crowd. We might give it another try.","{'experience': 'negative', 'appetizers': 'negative', 'course': 'negative', 'seasoning': 'negative', 'staff': 'positive', 'crowd': 'positive', 'try': 'neutral'}"
2024-07-02,"This is one of my favorite spots in town. The food is always delicious, and the atmosphere is cozy. We love coming here for a relaxed evening out with friends.","{'spots': 'positive', 'town': 'positive', 'food': 'positive', 'atmosphere': 'positive', 'evening': 'positive', 'friends': 'positive'}"
2024-07-02,"A wonderful dining experience from start to finish. The waiter was attentive, and the chef even came out to greet us. The food was flavorful and beautifully presented. Highly recommend!","{'dining': 'positive', 'experience': 'positive', 'start': 'positive', 'finish': 'positive', 'waiter': 'positive', 'chef': 'positive', 'food': 'positive'}"
2024-07-02,"Had a lovely evening here. The staff was attentive, and the food was great. We especially loved the appetizers. The portions were generous, and we left feeling very satisfied.","{'evening': 'positive', 'staff': 'positive', 'food': 'positive', 'appetizers': 'positive', 'portions': 'positive'}"
2024-08-21,"Had a lovely evening here. The staff was attentive, and the food was great. We especially loved the appetizers. The portions were generous, and we left feeling very satisfied.","{'evening': 'positive', 'staff': 'positive', 'food': 'positive', 'appetizers': 'positive', 'portions': 'positive'}"
2024-06-15,"The experience was mediocre. The appetizers were cold, and the main course lacked seasoning. The staff was friendly but seemed overwhelmed with the crowd. We might give it another try.","{'experience': 'negative', 'appetizers': 'negative', 'course': 'negative', 'seasoning': 'negative', 'staff': 'positive', 'crowd': 'positive', 'try': 'neutral'}"
2024-06-15,,{}
2024-06-15,"Loved the atmosphere, but the food didn't live up to the expectations. The dessert was the highlight of the meal, but the rest of the courses were a bit bland and overpriced.","{'atmosphere': 'positive', 'food': 'positive', 'expectations': 'positive', 'dessert': 'negative', 'highlight': 'negative', 'meal': 'negative', 'rest': 'negative', 'courses': 'negative', 'bit': 'negative'}"
2024-06-15,"This place never disappoints! The food is always top-notch, and the staff is very professional. The ambiance is perfect for a romantic dinner or special occasion.","{'place': 'positive', 'disappoints': 'positive', 'food': 'positive', 'notch': 'positive', 'staff': 'positive', 'ambiance': 'positive', 'dinner': 'positive', 'occasion': 'positive'}"
